Date,ret_trade,prob
2016-01-15,-0.047670596121903386,0.16666666666666666
2016-01-19,-0.034129714679955514,0.16666666666666666
2016-01-20,-0.02944640833212575,0.16666666666666666
2016-01-21,0.03883503123630683,0.16666666666666666
2016-01-22,0.08294392562410247,0.16666666666666666
2016-01-25,-0.07874870117177457,0.16666666666666666
2016-01-26,0.05035132401598741,0.16666666666666666
2016-01-27,0.02341137479325095,0.16666666666666666
2016-01-28,0.05664482427044959,0.16666666666666666
2016-01-29,-0.005154658940003776,0.16666666666666666
2016-02-01,-0.06528488970681978,0.16666666666666666
2016-02-02,-0.049889217306206435,0.16666666666666666
2016-02-03,0.08984836466548618,0.16666666666666666
2016-02-04,-0.023554632059385128,0.16666666666666666
2016-02-05,-0.023026320261197997,0.3333333333333333
2016-02-08,-0.030302975164222534,0.3333333333333333
